 Total Nb of available Diagnostics: ndiagt=   282
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  |  5 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  |  5 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  |  5 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  |  5 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  |  5 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  |  5 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  |  5 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  |  5 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  |  5 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 |  5 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|Pa              |Surface Pressure Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|Pa^2            |Square of Surface Pressure Anomaly
    25 |DETADT2 |  1 |       |SM      M1|Pa^2/s^2        |Square of Surface Pressure Anomaly Tendency
    26 |THETA   |  5 |       |SMR     MR|K               |Potential Temperature
    27 |SALT    |  5 |       |SMR     MR|g/kg            |Specific Humidity
    28 |RELHUM  |  5 |       |SMR     MR|0-1             |Relative Humidity (fraction)
    29 |UVEL    |  5 |    30 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    30 |VVEL    |  5 |    29 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    31 |WVEL    |  5 |       |WM      LR|Pa/s            |Vertical Component of Velocity (r_units/s)
    32 |THETASQ |  5 |       |SMRP    MR|K^2             |Square of Potential Temperature
    33 |SALTSQ  |  5 |       |SMRP    MR|(g/kg)^2        |Square of Specific Humidity
    34 |UVELSQ  |  5 |    35 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    35 |VVELSQ  |  5 |    34 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    36 |WVELSQ  |  5 |       |WM P    LR|Pa^2/s^2        |Square of Vertical Comp of Velocity
    37 |UE_VEL_C|  5 |    38 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    38 |VN_VEL_C|  5 |    37 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    39 |UV_VEL_C|  5 |    39 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    40 |UV_VEL_Z|  5 |    40 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    41 |WU_VEL  |  5 |       |WU      LR|m.Pa/s^2        |Vertical Transport of Zonal Momentum
    42 |WV_VEL  |  5 |       |WV      LR|m.Pa/s^2        |Vertical Transport of Meridional Momentum
    43 |UVELMASS|  5 |    44 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    44 |VVELMASS|  5 |    43 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    45 |WVELMASS|  5 |       |WM      LR|Pa/s            |Vertical Mass-Weighted Comp of Velocity
    46 |PhiVEL  |  5 |    43 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    47 |PsiVEL  |  5 |    46 |SZ  P   MR|Pa.m^2/s        |Horizontal Velocity Stream-Function
    48 |UTHMASS |  5 |    49 |UUr     MR|K.m/s           |Zonal Mass-Weight Transp of Pot Temp
    49 |VTHMASS |  5 |    48 |VVr     MR|K.m/s           |Meridional Mass-Weight Transp of Pot Temp
    50 |WTHMASS |  5 |       |WM      LR|K.Pa/s          |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    51 |USLTMASS|  5 |    52 |UUr     MR|g/kg.m/s        |Zonal Mass-Weight Transp of Specific Humidity
    52 |VSLTMASS|  5 |    51 |VVr     MR|g/kg.m/s        |Meridional Mass-Weight Transp of Specific Humidity
    53 |WSLTMASS|  5 |       |WM      LR|g/kg.Pa/s       |Vertical Mass-Weight Transp of Specific Humidity
    54 |UVELTH  |  5 |    55 |UUR     MR|K.m/s           |Zonal Transport of Pot Temp
    55 |VVELTH  |  5 |    54 |VVR     MR|K.m/s           |Meridional Transport of Pot Temp
    56 |WVELTH  |  5 |       |WM      LR|K.Pa/s          |Vertical Transport of Pot Temp
    57 |UVELSLT |  5 |    58 |UUR     MR|g/kg.m/s        |Zonal Transport of Specific Humidity
    58 |VVELSLT |  5 |    57 |VVR     MR|g/kg.m/s        |Meridional Transport of Specific Humidity
    59 |WVELSLT |  5 |       |WM      LR|g/kg.Pa/s       |Vertical Transport of Specific Humidity
    60 |UVELPHI |  5 |    61 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Geopotential Anomaly
    61 |VVELPHI |  5 |    60 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Geopotential Anomaly
    62 |RHOAnoma|  5 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    63 |RHOANOSQ|  5 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    64 |URHOMASS|  5 |    65 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    65 |VRHOMASS|  5 |    64 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    66 |WRHOMASS|  5 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    67 |WdRHO_P |  5 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    68 |WdRHOdP |  5 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    69 |PHIHYD  |  5 |       |SMR     MR|m^2/s^2         |Hydrostatic Geopotential Anomaly
    70 |PHIHYDSQ|  5 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Geopotential Anomaly
    71 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Top Geopotential Anomaly
    72 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Top Geopotential Anomaly
    73 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Geopotential
    74 |PHIHYDcR|  5 |       |SMR     MR|m^2/s^2         |Hydrostatic Geopotential Anomaly @ const r
    75 |PHI_NH  |  5 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Geopotential
    76 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    77 |DRHODR  |  5 |       |SM      LR|s^2/m^2         |Stratification: d.Sigma/dr (kg/m3/r_unit)
    78 |CONVADJ |  5 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    79 |oceTAUX |  1 |    80 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    80 |oceTAUY |  1 |    79 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    81 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading
    82 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    83 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    84 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    85 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    86 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    87 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    88 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    89 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    90 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    91 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    92 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    93 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    94 |RCENTER |  5 |       |SM      MR|Pa              |Cell-Center Pressure
    95 |RSURF   |  1 |       |SM      M1|Pa              |Surface Pressure
    96 |TOTUTEND|  5 |    97 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    97 |TOTVTEND|  5 |    96 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
